time,G1,G2,G3,total_gen_MW,net_load_MW
2024-06-08 19:00:00,10.733864,0.0,0.0,10.733864,10.733864224312729
2024-06-08 20:00:00,16.838974,0.0,0.0,16.838974,16.8389741345809
2024-06-08 21:00:00,24.976392,0.0,0.0,24.976392,24.976391898346876
2024-06-08 22:00:00,23.221538,0.0,0.0,23.221538,23.22153755049602
2024-06-08 23:00:00,18.936493,0.0,0.0,18.936493,18.93649254601615
2024-06-09 00:00:00,17.731887,0.0,0.0,17.731887,17.731886581694408
2024-06-09 01:00:00,20.192166,0.0,0.0,20.192166,20.1921664383633
2024-06-09 02:00:00,16.646099,0.0,0.0,16.646099,16.646099040333155
2024-06-09 03:00:00,17.863681,0.0,0.0,17.863681,17.863680837506312
2024-06-09 04:00:00,21.601029,0.0,0.0,21.601029,21.601029161354642
2024-06-09 05:00:00,21.908092,0.0,0.0,21.908092,21.908092315710615
2024-06-09 06:00:00,20.397637,0.0,0.0,20.397637,20.39763681086123
2024-06-09 07:00:00,10.939059,0.0,0.0,10.939059,10.93905925417008
2024-06-09 08:00:00,12.084562,0.0,0.0,12.084562,12.084561971799157
2024-06-09 09:00:00,8.6886387,0.0,0.0,8.6886387,8.688638740484954
2024-06-09 10:00:00,9.1141071,0.0,0.0,9.1141071,9.114107084849017
2024-06-09 11:00:00,4.8355606,0.0,0.0,4.8355606,4.835560553754455
2024-06-09 12:00:00,2.1737421,0.0,0.0,2.1737421,2.1737421242125414
2024-06-09 13:00:00,17.176147,0.0,0.0,17.176147,17.176146841275315
2024-06-09 14:00:00,3.9631938,0.0,0.0,3.9631938,3.963193795234112
2024-06-09 15:00:00,7.5028997,0.0,0.0,7.5028997,7.50289971349099
2024-06-09 16:00:00,5.9074558,0.0,0.0,5.9074558,5.907455752723838
2024-06-09 17:00:00,10.075847,0.0,0.0,10.075847,10.075846839928456
2024-06-09 18:00:00,14.031827,0.0,0.0,14.031827,14.031826585245856
2024-06-09 19:00:00,14.542534,0.0,0.0,14.542534,14.542534067642256
2024-06-09 20:00:00,20.219358,0.0,0.0,20.219358,20.219357705058265
2024-06-09 21:00:00,21.773746,0.0,0.0,21.773746,21.77374584999963
2024-06-09 22:00:00,20.144529,0.0,0.0,20.144529,20.144529327778134
2024-06-09 23:00:00,20.709908,0.0,0.0,20.709908,20.709908103896957
2024-06-10 00:00:00,21.147915,0.0,0.0,21.147915,21.14791489261521
2024-06-10 01:00:00,22.006097,0.0,0.0,22.006097,22.006097161164114
2024-06-10 02:00:00,20.108983,0.0,0.0,20.108983,20.108983218234467
2024-06-10 03:00:00,20.295832,0.0,0.0,20.295832,20.29583204464956
2024-06-10 04:00:00,22.593144,0.0,0.0,22.593144,22.593143962813777
2024-06-10 05:00:00,25.363745,0.0,0.0,25.363745,25.363745186906833
2024-06-10 06:00:00,22.322036,0.0,0.0,22.322036,22.322035737953357
2024-06-10 07:00:00,19.4991,0.0,0.0,19.4991,19.499099950808507
2024-06-10 08:00:00,16.803842,0.0,0.0,16.803842,16.80384179724752
2024-06-10 09:00:00,12.343173,0.0,0.0,12.343173,12.34317275984975
2024-06-10 10:00:00,17.253081,0.0,0.0,17.253081,17.253081141907366
2024-06-10 11:00:00,0.0,0.0,0.0,0.0,0.0
2024-06-10 12:00:00,10.824983,0.0,0.0,10.824983,10.824982603777443
2024-06-10 13:00:00,0.0,0.0,0.0,0.0,0.0
2024-06-10 14:00:00,0.0,0.0,0.0,0.0,0.0
2024-06-10 15:00:00,12.200343,0.0,0.0,12.200343,12.200343061846716
2024-06-10 16:00:00,14.657134,0.0,0.0,14.657134,14.657133590330076
2024-06-10 17:00:00,10.386943,0.0,0.0,10.386943,10.3869432034551
2024-06-10 18:00:00,12.236189,0.0,0.0,12.236189,12.236189178605699
2024-06-10 19:00:00,20.535338,0.0,0.0,20.535338,20.535338464576405
2024-06-10 20:00:00,17.695202,0.0,0.0,17.695202,17.695201578506257
2024-06-10 21:00:00,24.756001,0.0,0.0,24.756001,24.75600111918264
2024-06-10 22:00:00,21.335311,0.0,0.0,21.335311,21.335310570345182
2024-06-10 23:00:00,20.545587,0.0,0.0,20.545587,20.545586821106504
2024-06-11 00:00:00,19.025451,0.0,0.0,19.025451,19.025450569857938
2024-06-11 01:00:00,19.858606,0.0,0.0,19.858606,19.858606168621165
