t,S,I,R
6.656641604010025048e+01,1.032557799175198888e+05,1.422377171604735777e+05,7.545065029220066499e+05
6.696741854636590574e+01,1.015211202338365692e+05,1.383422705015363754e+05,7.601366092646272155e+05
6.736842105263157521e+01,9.985921004684237414e+04,1.345272933479059720e+05,7.656134966052517993e+05
6.776942355889724467e+01,9.826638302144649788e+04,1.307934969233758166e+05,7.709401200551778311e+05
6.817042606516289993e+01,9.673927528879427700e+04,1.271412967727996001e+05,7.761194279384062393e+05
6.857142857142856940e+01,9.527482544626723393e+04,1.235708127620906307e+05,7.811543617916422663e+05
6.897243107769423887e+01,9.387027455748317880e+04,1.200818690782227059e+05,7.860478563642943045e+05
6.937343358395989412e+01,9.252316615229620948e+04,1.166739942292296473e+05,7.908028396184742451e+05
6.977443609022556359e+01,9.123134622679642052e+04,1.133464210442050535e+05,7.954222327289986424e+05
7.017543859649121885e+01,8.999296324331038340e+04,1.100980866733029688e+05,7.999089500833868515e+05
7.057644110275688831e+01,8.880646813040070992e+04,1.069276325877372146e+05,8.042658992818621919e+05
7.097744360902255778e+01,8.767061428286632872e+04,1.038334045797818544e+05,8.084959811373519478e+05
7.137844611528821304e+01,8.658445756174239796e+04,1.008134527627711359e+05,8.126020896754865535e+05
7.177944862155388250e+01,8.554735629430024710e+04,9.786553157109899621e+04,8.165871121346008731e+05
7.218045112781953776e+01,8.455861134310549824e+04,9.498734037104113668e+04,8.204540482858535834e+05
7.258145363408520723e+01,8.361043991038738750e+04,9.218143007886131818e+04,8.242081300107514253e+05
7.298245614035087669e+01,8.269883144230990729e+04,8.944829390720378433e+04,8.278528746504865121e+05
7.338345864661653195e+01,8.182260578431629983e+04,8.678661690233668196e+04,8.313907773133472074e+05
7.378446115288220142e+01,8.098059955029013508e+04,8.419508945144577592e+04,8.348243109982642345e+05
7.418546365914787089e+01,8.017166612255555810e+04,8.167240728263490018e+04,8.381559265948097454e+05
7.458646616541352614e+01,7.939467565187712898e+04,7.921727146492581232e+04,8.413880528831972042e+05
7.498746867167919561e+01,7.864851505745977920e+04,7.682838840825780062e+04,8.445230965342825511e+05
7.538847117794486508e+01,7.793208802694900078e+04,7.450446986348832434e+04,8.475634421095628059e+05
7.578947368421052033e+01,7.724431501643071533e+04,7.224423292239264993e+04,8.505114520611767657e+05
7.619047619047618980e+01,7.658413325043121586e+04,7.004640001766367641e+04,8.533694667319052387e+05
7.659147869674184506e+01,7.595049672191734135e+04,6.790969892291247379e+04,8.561398043551703449e+05
7.699248120300751452e+01,7.534237619229630218e+04,6.583286275266767188e+04,8.588247610550362151e+05
7.739348370927318399e+01,7.475875919141579652e+04,6.381462996237596235e+04,8.614266108462084085e+05
7.779448621553883925e+01,7.419865001756401034e+04,6.185374434840190952e+04,8.639476056340342620e+05
7.819548872180450871e+01,7.366106973746950098e+04,5.994895504802771029e+04,8.663899752145030070e+05
7.859649122807016397e+01,7.314505618630132813e+04,5.809901653945368889e+04,8.687559272742451867e+05
7.899749373433583344e+01,7.264966396766898106e+04,5.630268864179776574e+04,8.710476473905334715e+05
7.939849624060150290e+01,7.217396445362240775e+04,5.455873651509590854e+04,8.732672990312818438e+05
7.979949874686715816e+01,7.171704578465200029e+04,5.286593066030197224e+04,8.754170235550461803e+05
8.020050125313282763e+01,7.127801286968860950e+04,5.122304691928740795e+04,8.774989402110241354e+05
8.060150375939849710e+01,7.085598738610353030e+04,4.962886647484179412e+04,8.795151461390549084e+05
8.100250626566415235e+01,7.045010777970851632e+04,4.808217585067248729e+04,8.814677163696191274e+05
8.140350877192982182e+01,7.005952926475573622e+04,4.658176691140459297e+04,8.833587038238398964e+05
8.180451127819549129e+01,6.968342382393784646e+04,4.512643686258118396e+04,8.851901393134811660e+05
8.220551378446114654e+01,6.932098020838794764e+04,4.371498825066322752e+04,8.869640315409490140e+05
8.260651629072681601e+01,6.897140393767956994e+04,4.234622896302936715e+04,8.886823670992911793e+05
8.300751879699247127e+01,6.863391729982674588e+04,4.101897222797632276e+04,8.903471104721970623e+05
8.340852130325814073e+01,6.830775935128386482e+04,3.973203661471848318e+04,8.919602040339978412e+05
8.380952380952381020e+01,6.799218591694583301e+04,3.848424603338816087e+04,8.935235680496662389e+05
8.421052631578946546e+01,6.768646959014802997e+04,3.727442973503564281e+04,8.950391006748165237e+05
8.461152882205513492e+01,6.738989973266623565e+04,3.610142231162886310e+04,8.965086779557050904e+05
8.501253132832079018e+01,6.710237411305870046e+04,3.496384520970079757e+04,8.979337806772406911e+05
8.541353383458645965e+01,6.682465728531382047e+04,3.386026833394383721e+04,8.993150743807426188e+05
8.581453634085212911e+01,6.655650878508591268e+04,3.278985973535790254e+04,9.006536314795564394e+05
8.621553884711778437e+01,6.629765577791653050e+04,3.175181204223329041e+04,9.019505321798503865e+05
8.661654135338345384e+01,6.604782835926355619e+04,3.074532616357020015e+04,9.032068454771664692e+05
8.701754385964912331e+01,6.580675955450125912e+04,2.976961128907898456e+04,9.044236291564200073e+05
8.741854636591477856e+01,6.557418531892026658e+04,2.882388488918000076e+04,9.056019297918999800e+05
8.781954887218044803e+01,6.534984453772753477e+04,2.790737271500354109e+04,9.067427827472691424e+05
8.822055137844611750e+01,6.513347902604638512e+04,2.701930879839002591e+04,9.078472121755637927e+05
8.862155388471177275e+01,6.492483352891651884e+04,2.615893545188989810e+04,9.089162310191937722e+05
8.902255639097744222e+01,6.472365572129395878e+04,2.532550326876353211e+04,9.099508410099426983e+05
8.942355889724309748e+01,6.452969620805110026e+04,2.451827112298145221e+04,9.109520326689676149e+05
8.982456140350876694e+01,6.434270852397669660e+04,2.373650616922408881e+04,9.119207853067994583e+05
9.022556390977443641e+01,6.416244913377584453e+04,2.297948384288199304e+04,9.128580670233423589e+05
9.062656641604009167e+01,6.398867743207002059e+04,2.224648786005572765e+04,9.137648347078744555e+05
9.102756892230576113e+01,6.382115574339703016e+04,2.153681021755582333e+04,9.146420340390473139e+05
9.142857142857141639e+01,6.365964932221105119e+04,2.084975119290290968e+04,9.154905994848862756e+05
9.182957393483708586e+01,6.350392635288261226e+04,2.018461934432757334e+04,9.163114543027899927e+05
9.223057644110275533e+01,6.335375794969859271e+04,1.954073151077048533e+04,9.171055105395311257e+05
9.263157894736841058e+01,6.320891815686224436e+04,1.891741281188233552e+04,9.178736690312556457e+05
9.303258145363408005e+01,6.306918394849316246e+04,1.831399664802379993e+04,9.186168194034832995e+05
9.343358395989974952e+01,6.293433522862729296e+04,1.772982470026560986e+04,9.193358400711072609e+05
9.383458646616540477e+01,6.280415483121695434e+04,1.716424693038854821e+04,9.200315982383947121e+05
9.423558897243107424e+01,6.267842852013080119e+04,1.661662158088335855e+04,9.207049498989860294e+05
9.463659147869674371e+01,6.255694498915386066e+04,1.608631517495087246e+04,9.213567398358954815e+05
9.503759398496239896e+01,6.243949586198751058e+04,1.557270251650193677e+04,9.219878016215107637e+05
9.543859649122806843e+01,6.232587569224947947e+04,1.507516669015736989e+04,9.225989576175933471e+05
9.583959899749372369e+01,6.221588196347386111e+04,1.459309906124810368e+04,9.231910189752782462e+05
9.624060150375939315e+01,6.210931508911108540e+04,1.412589927581501615e+04,9.237647856350741349e+05
9.664160401002506262e+01,6.200597841252796934e+04,1.367297526060906603e+04,9.243210463268632302e+05
9.704260651629071788e+01,6.190573853793244052e+04,1.323380392970296452e+04,9.248604575323647587e+05
9.744360902255638734e+01,6.180872664659995644e+04,1.280818518369361118e+04,9.253830881697066361e+05
9.784461152882204260e+01,6.171488856148905325e+04,1.239580660769029782e+04,9.258893048308208818e+05
9.824561403508771207e+01,6.162413901994195476e+04,1.199633115158823421e+04,9.263795298284699675e+05
9.864661654135338154e+01,6.153639363888281514e+04,1.160942532366479281e+04,9.268541810374525376e+05
9.904761904761903679e+01,6.145156891481772618e+04,1.123475919057945976e+04,9.273136718946030596e+05
9.944862155388470626e+01,6.136958222383467364e+04,1.087200637737380566e+04,9.277584113987917081e+05
9.984962406015037573e+01,6.129035182160358090e+04,1.052084406747156027e+04,9.281888041109250626e+05
1.002506265664160310e+02,6.121379684337629442e+04,1.018095300267856874e+04,9.286052501539452933e+05
1.006516290726817004e+02,6.113983730398656917e+04,9.852017483182760770e+03,9.290081452128308592e+05
1.010526315789473699e+02,6.106839409785009775e+04,9.533725367554223340e+03,9.293978805345959263e+05
1.014536340852130252e+02,6.099938899896448129e+04,9.225768072745162499e+03,9.297748429282906000e+05
1.018546365914786946e+02,6.093274466090923670e+04,8.927840574089867005e+03,9.301394147650010418e+05
1.022556390977443499e+02,6.086838461684583308e+04,8.639641405304791988e+03,9.304919739778495859e+05
1.026566416040100194e+02,6.080623327951761894e+04,8.360872658488469824e+03,9.308328940619941568e+05
1.030576441102756888e+02,6.074621594124989497e+04,8.091239984121578345e+03,9.311625440746287350e+05
1.034586466165413441e+02,6.068825877394987765e+04,7.830452591066922650e+03,9.314812886349833570e+05
1.038596491228070136e+02,6.063228882910668472e+04,7.578223246569391449e+03,9.317894879243241157e+05
1.042606516290726688e+02,6.057823403779139335e+04,7.334268276256035278e+03,9.320874976859528106e+05
1.046616541353383383e+02,6.052602321065695287e+04,7.098307564135983739e+03,9.323756692252072971e+05
1.050626566416040077e+02,6.047558603793828661e+04,6.870064552600520074e+03,9.326543494094613707e+05
1.054636591478696630e+02,6.042685308945219003e+04,6.649266242423035692e+03,9.329238806681249989e+05
1.058646616541353325e+02,6.037975581459741807e+04,6.435643192759022895e+03,9.331846009926437400e+05
1.062656641604010019e+02,6.033422654235462687e+04,6.228929521146123989e+03,9.334368439364994410e+05
1.066666666666666572e+02,6.029019848128640297e+04,6.028862903504086717e+03,9.336809386152096558e+05
1.070676691729323267e+02,6.024760571953724866e+04,5.835184574134766990e+03,9.339172097063282272e+05
1.074686716791979961e+02,6.020638322483358206e+04,5.647639325722159811e+03,9.341459774494444719e+05
