time,temperature_K
7.895791583166332828e+01,2.879999700148799775e+02
7.935871743486974594e+01,2.879999698626713212e+02
7.975951903807614940e+01,2.879999697104626648e+02
8.016032064128256707e+01,2.879999695582540653e+02
8.056112224448898473e+01,2.879999694060454090e+02
8.096192384769538819e+01,2.879999692538367526e+02
8.136272545090180586e+01,2.879999691016280963e+02
8.176352705410822352e+01,2.879999689494194399e+02
8.216432865731462698e+01,2.879999687972108404e+02
8.256513026052104465e+01,2.879999686450021841e+02
8.296593186372746231e+01,2.879999684927935277e+02
8.336673346693386577e+01,2.879999683405848714e+02
8.376753507014028344e+01,2.879999681883762719e+02
8.416833667334670110e+01,2.879999680361676155e+02
8.456913827655310456e+01,2.879999678839589592e+02
8.496993987975952223e+01,2.879999677317503597e+02
8.537074148296593989e+01,2.879999675795417033e+02
8.577154308617234335e+01,2.879999674273330470e+02
8.617234468937876102e+01,2.879999672751244475e+02
8.657314629258517868e+01,2.879999671229157912e+02
8.697394789579158214e+01,2.879999669707071916e+02
8.737474949899799981e+01,2.879999668184985353e+02
8.777555110220441748e+01,2.879999666662898790e+02
8.817635270541082093e+01,2.879999665140812795e+02
8.857715430861723860e+01,2.879999663618726231e+02
8.897795591182365627e+01,2.879999662096640236e+02
8.937875751503005972e+01,2.879999660574553673e+02
8.977955911823647739e+01,2.879999659052467678e+02
9.018036072144289506e+01,2.879999657530381114e+02
9.058116232464929851e+01,2.879999656008295119e+02
9.098196392785571618e+01,2.879999654486208556e+02
9.138276553106213385e+01,2.879999652964122561e+02
9.178356713426853730e+01,2.879999651442036566e+02
9.218436873747495497e+01,2.879999649919950002e+02
9.258517034068135843e+01,2.879999648397864007e+02
9.298597194388777609e+01,2.879999646875777444e+02
9.338677354709419376e+01,2.879999645353691449e+02
9.378757515030059722e+01,2.879999643831605454e+02
9.418837675350701488e+01,2.879999642309518890e+02
9.458917835671343255e+01,2.879999640787432895e+02
9.498997995991983601e+01,2.879999639265346900e+02
9.539078156312625367e+01,2.879999637743260337e+02
9.579158316633267134e+01,2.879999636221174342e+02
9.619238476953907480e+01,2.879999634699088347e+02
9.659318637274549246e+01,2.879999633177002352e+02
9.699398797595191013e+01,2.879999631654915788e+02
9.739478957915831359e+01,2.879999630132829793e+02
9.779559118236473125e+01,2.879999628610743798e+02
9.819639278557114892e+01,2.879999627088657803e+02
9.859719438877755238e+01,2.879999625566571808e+02
9.899799599198397004e+01,2.879999624044485245e+02
